nome,email,localizacao,categoria,site,telefone
Kiko Pinturas,,SC,pintura,,+55 47 3387-3767
Auto Center Vitória,,SC,oficina/auto,,
Haas,,SC,oficina/auto,,+55 47 98406-3463
BVT Mecânica,,SC,oficina/auto,,
Mecânica Booss,,SC,oficina/auto,,
Tarumá Auto Elétrica,,SC,oficina/auto,,
Mecânica Simonês,,SC,oficina/auto,,
MSF Auto Center,,SC,oficina/auto,,
SM Motors,,SC,oficina/auto,,
Edu Ar-condicionados,,SC,oficina/auto,,
Lubrificare,,SC,oficina/auto,,
Vitrine do Óleo,,SC,oficina/auto,,
Anildo Escapamentos,,SC,oficina/auto,,
Esteticar,,SC,oficina/auto,,
Marques Auto Center,,SC,oficina/auto,,
Rocha Mecanica e Geometris,,"Rua Cândido Pereira dos Anjos, 1235 - SC",oficina/auto,,+55 48 3238 1624
Unikha Automotiva,,"Rua Pomerode, 508 - SC",oficina/auto,,
Car Tech,,SC,oficina/auto,,
Auto Elétrica Couto,,SC,oficina/auto,,
Auto Mecânica Samar,,Rua Primeiro de Maio - SC,oficina/auto,,
Vipcar Auto Mecânica,,SC,oficina/auto,,
Mecânica Import Car,,Avenida Nereu Ramos - D - SC,oficina/auto,,
Mecânica N. D.,,Rua Amazonas - E - SC,oficina/auto,,+55 49 3322 0827
Cleison Reparos Automotivos,,SC,oficina/auto,,+55 49 98406 3731
Mecânica Knapp,,SC,oficina/auto,,
Mecânica Petry,,"Avenida Gilberto Comandolli, 50 - SC",oficina/auto,,
Mecânica Tiradentes,,SC,oficina/auto,,
Mecânica 3 de Maio,,SC,oficina/auto,,
L.F. Caminhões,,Acesso Plínio Arlindo de Nês - SC,oficina/auto,,
Auto Elétrica Tenente,,SC,oficina/auto,,
Auto Mecânica Vila Tomio,,"Rua da Glória, 1111 - SC",oficina/auto,,+55 47 3324 0102
Shell Helix,,SC,oficina/auto,,
Premier System,,SC,oficina/auto,,
Htech Power Motors,,SC,oficina/auto,http://www.htechpowermotors.com.br,
Destak,,SC,oficina/auto,,
DPaschoal,,"Avenida Mauro Ramos, 156 - SC",oficina/auto,,
Auto Center Gomes,,SC,oficina/auto,,
Auto Elétrica Jaraguá,,"Rua Ayres Gama, 78 - SC",oficina/auto,,+55 47 3322-4938
TSK Multimarcas,,"Rua 7 de Setembro, 2425 - SC",oficina/auto,,+55 47 3326-0646
Mecânica Baumann,,SC,oficina/auto,,
Borchers,,Rua João Wiest Júnior - SC,oficina/auto,,
Auto Elétrica Chará,,SC,oficina/auto,,
Latoaria Maringá,,SC,oficina/auto,,
Eletromecânica Ideal,,"Rua Theodoro Holtrup, 374 - SC",oficina/auto,,
Mecânica do Casa,,Acesso Ernani Sander - SC,oficina/auto,,
Franco Parachoques,,SC,oficina/auto,,
Vanio Diesel,,"Rua Doutor Pedro Zimmermann, 9745 - SC",oficina/auto,,+55 47 3380-5131
Eletro Buratto,,SC,oficina/auto,,
Nilson,,"Rua Luis Chiodini, 260 - SC",oficina/auto,,
Auto Mecânica Alternativa 5,,"Rua Alberto João Soares, 45 - SC",oficina/auto,,+55 47 3035-5812
Oficina Mecânica Real,,SC,oficina/auto,,
Oficina do Vado,,SC,oficina/auto,,
Mecânica Ideal,,"Rua Germano Niehues, 387 - SC",oficina/auto,,
Edgás Convertedora GNV,,"Rua 2 de Setembro, 3908 - SC",oficina/auto,,+55 47 3037-2327
Bastos Latoaria e Pintura,,SC,pintura,,
Auto Mecânica Perazza,,SC,oficina/auto,,
G3 Mecânica Multimarcas,,"Rua Francisco Vahldieck, 661 - SC",oficina/auto,,
Auto Elétrica e Mecânica Alemão,,SC,oficina/auto,,
Mecânica RR,,SC,oficina/auto,,
Auto Elétrica Center,,SC,oficina/auto,,
Oficina do Vidal,,SC,oficina/auto,,
Careca Competições,,SC,oficina/auto,,
Miro Autocar,,SC,oficina/auto,,"+55 47 3363-8357;+55 47 99951-8703"
Mecânica Galvane,,"Rua XV de Novembro, 40 - SC",oficina/auto,,
Fabiano Máquinas Oficina Mecânica,,"Rua XV de Novembro, 234 - SC",oficina/auto,,
Carlos Chapeação e Pintura,,"Avenida Nicolau Gesing, 268 - SC",pintura,,
Teló Auto Elétrica,,"Rua João Wessler, 515 - SC",oficina/auto,,
Auto Elétrica Gílson,,"Rua Francisco Buss, 200 - SC",oficina/auto,,
Autocar Peças e Acessórios,,"Rua Luiz Abry, 1551 - SC",oficina/auto,,+55 47 3387-2448
Rm Motors Mecânica e Auto Elétrica,,"Rua Irineu Bornhausen, 102 - SC",oficina/auto,,
Indy Auto Center,,"Rua das Missões, 1125 - SC",oficina/auto,,
Pépo Ar Automotivo,,"Rua das Missões, 1111 - SC",oficina/auto,,
Auto Mecânica Rio Cerro,,SC,oficina/auto,,+55 47 3376-1607
Auto Mecânica São Martinho,,SC,oficina/auto,,
Mecânica Bagio,,Avenida Leopoldo Sander - SC,oficina/auto,,
LubService,,SC,oficina/auto,,
Clide,,SC,oficina/auto,,
Original Auto Center,,SC,oficina/auto,,
Real Auto Elétrica,,"Rua Paraíba, 381 - SC",oficina/auto,,+55 47 99985-0837
Chapeação e Pintura Rossetti,,"Estrada Blumenau, 250 - SC",pintura,,
Mecânica Taboão,,Estrada Blumenau - SC,oficina/auto,,
Parma Baterias,,SC,oficina/auto,,
Auto Mecânica Magrão,,"Rua Luiz Abry, 2993 - SC",oficina/auto,,"+55 47 3395-0892;+55 47 99992-4460"
Autocenter Águas Claras,,SC,oficina/auto,,
Gaspauto Elétrica,,SC,oficina/auto,,
AJcar,,SC,oficina/auto,,+55 47 3378-2444
SD Diesel Mecânica,,SC,oficina/auto,,
Oficina do Carro,,"Rua 7 de Setembro, 169 - SC",oficina/auto,,
Auto Mecânica Oregon,,SC,oficina/auto,,
Auto Mecânica Araranguá,,"Rua Murici, 56 - SC",oficina/auto,,
Eder Pintura Automotiva,,"Rua Theodoro Pereira, 87 - SC",pintura,https://ederpintura.com.br/,+55 47 3322-4331
Auto Mecânica e Latoaria WS,,"Rua Testo Alto, 3179 - SC",oficina/auto,,+55 47 3395-1633
Trok Escapamentos,,"Rua Almirante Tamandaré, 1731 - SC",oficina/auto,,
JR Auto Mecânica,,SC,oficina/auto,,
Márcio Motos,,SC,oficina/auto,,
DNF Auto Car,,SC,oficina/auto,,
Auto Elétrica Róbson Polaco,,SC,oficina/auto,,
Nunes Auto Center,,SC,oficina/auto,,
Jocé Mecânica,,SC,oficina/auto,,
Mecânica Continente,,Rua Araci Vaz Callado - SC,oficina/auto,,
Graxa Auto Mecânica,,SC,oficina/auto,,
Topo Pintura,,SC,pintura,,
Auto Elétrica Duarte,,SC,oficina/auto,,
Latoaria Wunderwald,,SC,oficina/auto,,+55 47 3387-3128
Autoelétrica Róbsom,,SC,oficina/auto,,
Inovar Restauração de Volante,,SC,oficina/auto,,
Richard Auto Car,,SC,oficina/auto,,+55 48 3623 0126
Miro Auto Mecânica,,SC,oficina/auto,,
Luiz Oliveira,,SC,oficina/auto,,
Lataria & Cia,,SC,oficina/auto,,+55 48 3623 0481
Oficina do Bento,,SC,oficina/auto,,
Gilberto Funilaria e Pintura,,SC,funilaria,,
Nildo Auto Elétrica,,SC,oficina/auto,,
Flex Reparação Automotiva,,SC,oficina/auto,,
Zé Paraná,,SC,oficina/auto,,
Borges Auto Mecânica,,SC,oficina/auto,,+55 48 3623 0466
Mecânica Oliveira,,SC,oficina/auto,,
Mecânica Irmãos Cé,,"Rua Quintino Bocaiúva, 598 - SC",oficina/auto,,+55 47 3353-1618
Mecânica Atlanticar,,SC,oficina/auto,,
DM Motors,,"Rua Vidal Ferreira, 1665 - SC",oficina/auto,,
Pomercar,,"Rua Pomerânia, 218 - SC",oficina/auto,,+55 47 3387-1236
Biondo Auto Elétrica,,Avenida Atílio Fontana - SC,oficina/auto,,+55 49 3328 6960
Rio Auto Center,,"Avenida Atílio Fontana, 2747 - SC",oficina/auto,,+55 49 3328-3775
Subzero Motorsport,,"Rua Presidente Costa e Silva, 2434 - SC",oficina/auto,,+55 47 3387-6556
Mercado do Óleo,,"Avenida Madre Benvenuta, 1630 - SC",oficina/auto,http://www.mercadodooleo.net.br/,+55 48 3024-5500
Ímola Centro Automotivo,,SC,oficina/auto,,
Oficina Imperatriz,,SC,oficina/auto,,
Mecânica,,SC,oficina/auto,,
Cargo Berg,,SC,oficina/auto,,
MM Mecânica,,"Rua Moura, 467 - SC",oficina/auto,,+55 48 3240-3944
Dominski e Fortuna Posto de Molas,,SC,oficina/auto,,
Chapeação Leite,,SC,oficina/auto,,
Zanis,,Rua 7 de Setembro - SC,oficina/auto,,
TRATORTEC,,"SC-350, 1589 - SC",oficina/auto,,+55 47 9 9119 8061
K2 PNEUS,,SC,oficina/auto,,
K & K Pneus,,SC,oficina/auto,,+55 47 3524 0889
Mecânica e Chapeação Franzen,,SC,oficina/auto,,
Auto Elétrica do Polenta,,"Rua 7 de Setembro, 1181 - SC",oficina/auto,,
Tratocar,,"Rua 7 de Setembro, 690 - SC",oficina/auto,,
Mundial Auto Center Efapi,,"Rua João Tormem, 99E - SC",oficina/auto,,+55 49 3329 5876
Maquinaria,,"Avenida Governador Ivo Silveira, 38 - SC",oficina/auto,https://maquinaria.com.br/,
Auto Elétrica Ernani,,"Alameda Aristiliano Ramos, 1266 - SC",oficina/auto,,
Mecânica RS Multimarcas,,"Alameda Aristiliano Ramos, 1960 - SC",oficina/auto,,
Hidraucar Direção Hidráulica,,"Alameda Aristiliano Ramos, 2165 - SC",oficina/auto,,
Oficina Maiochi Chapeação e Pintura,,"Alameda Aristiliano Ramos, 2165-A - SC",pintura,,
Santos Martelinho de Ouro,,"Rua Dom Bosco, 1557 - SC",martelinho,,
Mecânica Mario Baldassari,,"Travessa Radialista Nílton Novaes, 25 - SC",oficina/auto,,
Auto Elétrica Zamban,,Avenida Oscar Barcelos - SC,oficina/auto,,
Flex Car,,SC,oficina/auto,,
Mecânica Testoni,,"Rua Prefeito Wenceslau Borini, 2408 - SC",oficina/auto,,
Amortecedores Puff,,"Estrada Blumenau, 1945 - SC",oficina/auto,,
Mecânica Jair,,SC,oficina/auto,,
MM Auto Centre,,"Rua Waldemar Ouriques, 799 - SC",oficina/auto,,
Recuperadora Riosulense,,"Rua 13 de Agosto, 272 - SC",oficina/auto,https://recuperadora-riosulense-ltda-me.negocio.site/,
Chapeação e Pintura JA,,"Rua Dom Bosco, 1557 - SC",pintura,,
Mestre Serviços Automotivos,,"Rua Dom Bosco, 801 - SC",oficina/auto,,
Oficina Mecânica Álvaro,,"Rua XV de Novembro, 1010 - SC",oficina/auto,,
Mecânica HT,,"Rua XV de Novembro, 1872 - SC",oficina/auto,http://www.htimportados.com.br,
Mecânica E-Box,,"Estrada Boa Esperança, 241 - SC",oficina/auto,,
Mecânica Passig,,"Rua Alfredo Viebrantz, 113 - SC",oficina/auto,,
Auto Mecânica Chapecó,,"Rua João Ledra, 203 - SC",oficina/auto,,
Pro Ar Auto Elétrica,,"Rua Dom Pedro II, 181 - SC",oficina/auto,,
SCA Pneus e Rodas,,"Rua Dom Pedro II, 985 - SC",oficina/auto,https://www.scapneuserodas.com.br,
Equipe Auto Elétrica,,SC,oficina/auto,,
Mecânica Servicar,,SC,oficina/auto,,
Chapolin Pintura Automotiva,,"Rua Luiz Abry, 2370 - SC",pintura,,
Troca de Óleo,,SC,oficina/auto,,
Auto Mecânica Nano,,Rua Francisco Lanser - SC,oficina/auto,,+55 47 3339-1047
Vandiesel,,SC,oficina/auto,,
Pequenos Reparos,,SC,oficina/auto,,
Mecânica 3M,,"Rua Graciosa, 1290 - SC",oficina/auto,,
Casa dos Freios,,"Praça Paulo Schlemper, 4 - SC",oficina/auto,,
Rodar Mecânica Multimarcas,,"Rua Santos Saraiva, 1574 - SC",oficina/auto,,
Auto Elétrica Muller,,Rua Leopoldo Broering - SC,oficina/auto,,
Box 7,,"Rua Doutor Oswaldo Neves Espíndola, 583 - SC",oficina/auto,,
Mecânica São Cristóvão,,SC,oficina/auto,,
Retifica União,,Rua Longino José Turnes - SC,oficina/auto,,
Jeep Haus,,SC,oficina/auto,,
Mecânica e Borracharia Serrano,,SC,oficina/auto,,"+55 49 99101-1424;+55 49 3232-0509"
Oficina Marquinhos,,SC-114 - SC,oficina/auto,,
D D M Auto Center,,SC,oficina/auto,,
CS Auto Elétrica,,SC,oficina/auto,,
Mecânica Bendo,,SC,oficina/auto,,
Oficina Raimundo,,SC,oficina/auto,,
Pia Car,,SC,oficina/auto,,
Mustang Reparação Automotiva e Peças,,SC,oficina/auto,,
LM Hidráulicos,,"BR-470, 8955 - SC",oficina/auto,,
Auto Center Maravilha,,SC,oficina/auto,,
RPM Pneus - Filial Maravilha,,SC,oficina/auto,,
Jaciara Implementos Rodoviários,,Rua São Francisco - SC,oficina/auto,,
Gilcar,,SC,oficina/auto,,+55 48 3259-4751
Mecânica Sl,,"Rua Joinville, 567 - SC",oficina/auto,,
Mecânica Trucker,,SC,oficina/auto,,
Mecânica Funaro,,SC,oficina/auto,,
Rogério Auto Mecânica,,SC,oficina/auto,,+55 47 99101-5606
Centergás,,SC,oficina/auto,,
União Radiadores,,SC,oficina/auto,,
Rfort Centro Automotivo,,"Rua São Paulo, 732 - SC",oficina/auto,,+55 47 3488-5114
Carvalho Auto Mecânica,,Rodovia Aurélio Francisco Marconatto - SC,oficina/auto,,
Mecânica Bruscar,,SC,oficina/auto,,
Oficina do Celso,,SC,oficina/auto,,
Auto Mecânica RH,,705 - SC,oficina/auto,,
Roger Centro Automotivo,,3115 - SC,oficina/auto,,
Farias Oficina Automotiva,,SC,oficina/auto,,
Alfa Car Mecânica,,SC,oficina/auto,,
Suzena,,SC,oficina/auto,,
Oficina,,SC,oficina/auto,,
Grupo Autoteste,,Avenida Jorge Elias De Lucca - SC,oficina/auto,,
Mecânica Vilcar - Bosch Car Service,,SC,oficina/auto,,
Manos Autocenter,,SC,oficina/auto,,
Auto Elétrica,,SC,oficina/auto,,
Bosch Service Águia Sul,,"Rua Marcos Görresen, 1165 - SC",oficina/auto,,+55 47 3449 1515
101 Custom Garage,,Marginal da BR-101 - SC,oficina/auto,,
ACDelco Centro Automotivo,,SC,oficina/auto,,
Forte Troca deÓleo,,Rua Vinte e Cinco de Dezembro - SC,oficina/auto,,
Jral Serviçoa Automotivos Ltda,,Rua Homero de Miranda Gomes - SC,oficina/auto,,
Centro Automotivo da Barra,,Rua Altamiro Barcelos Dutra - SC,oficina/auto,,
Clubbe X Car Centro Automotivo,,"Rua Bento Francisco, 509 - SC",oficina/auto,,
RCS Trailer,,"Rua Jovita Gonçalves Freire, 28 - SC",oficina/auto,,
Garagem 306,,SC,oficina/auto,,
HF Autoparts,,SC,oficina/auto,,
Bosch Car Service Deco,,"Rua Três de Outubro, 5703 - SC",oficina/auto,,
Auto Center Blumenau,,"Rua Humberto de Campos, 299 - SC",oficina/auto,https://autocenterblumenau.com.br,+55 47 3041-1007
Marquinhos Injeção Eletrônica,,"Rua Antônio Manoel Paulino, 315 - Araranguá - SC",oficina/auto,,+55 48 3522-3388
Tino Chapeação e Pintura,,"Avenida Coronel João Fernandes, 393 - Araranguá - SC",pintura,,+55 48 99674-3320
Rey das Surdinas,,"Avenida Presidente João Goulart, 68 - Araranguá - SC",oficina/auto,,"+55 48 3522-0348;+55 48 3522-1698"
Evicar,,Rua Expedicionário Iracy Luchina - Araranguá - SC,oficina/auto,,+55 48 3524 0441
WPS Customs Oficina,,"Rua Fernando de Azevedo, 100 - Balneário Camboriú - SC",oficina/auto,,
AutoZone,,"Rua São Paulo, 1478 - Blumenau - SC",oficina/auto,https://autozone.com.br,+55 47 3513-0475
Fernando Mecânica Automotiva,,"Rua João Pessoa, 3088 - Blumenau - SC",oficina/auto,,+55 47 99178-4745
Auto Mecânica Anderlei,,"Rua Ari Barroso, 524 - Blumenau - SC",oficina/auto,,
Auto Center Chefe do Óleo,,"Rua São Paulo, 1410 - Blumenau - SC",oficina/auto,,+55 47 3322-1050
Auto Elétrica Caçadores,,"Rua Divinópolis, 496 - Blumenau - SC",oficina/auto,,+55 47 3328-4507
Latoaria Chiquinho,,"Rua Doutor Fúlvio Luz, 150 - Blumenau - SC",oficina/auto,,
Hoepers Auto Mecânica,,"Rua Engenheiro Paul Werner, 69 - Blumenau - SC",oficina/auto,,+55 47 3035-3818
Mecânica Carraro,,"Avenida Falcão, 718 - Bombas - SC",oficina/auto,,
Mecanica Carraro,,"Avenida Falcão, 718 - Bombas - SC",oficina/auto,,
Auto Center HS,,Avenida Falcão - Bombas - SC,oficina/auto,,
Mecânica Alemão,,Avenida Vereador João da Luz - Bombas - SC,oficina/auto,,
Oficina do Silvino (Alemão),,"Rua Jacob Batista Uliano, 239 - Braço do Norte - SC",oficina/auto,,
Mecânica Salomon,,Rua Barão do Rio Branco - Canoinhas - SC,oficina/auto,,
Oficina dos Gordinhos,,Rua Bernardo Olsen - Canoinhas - SC,oficina/auto,,
Eletrocar Knorek,,Rua Nery Waltrick - Canoinhas - SC,oficina/auto,,
Auto mecânica Fuck,,Rodovia Senador Luiz Henrique da Silveira - Canoinhas - SC,oficina/auto,,+55 47 98868 8378
Mecânica New Car,,Rua Borges de Medeiros - E - Chapecó - SC,oficina/auto,,
Mecânica Irmãos Tolotti,,"Rua Imperatriz Leopoldina, 62 - Chapecó - SC",oficina/auto,,
Cabeça Auto Mecânica,,"Rua Osvaldo Aranha - E, 997 - Chapecó - SC",oficina/auto,,+55 49 3322-5451
"Auto Revisa: Elétrica, Mecânica e Distr. Baterias",,"Rua Assis Brasil, 1390 - Chapecó - SC",oficina/auto,,
Mapel Comércio de Peças e Serviços,,"Rod. Plínio Arlindo de Nês, 1502D - Chapecó - SC",oficina/auto,https://mapel-sc.com.br/,+55 49 2049 6700
Rosseto Auto Center,,"R. Martinho Lutero, 1105 - Chapecó - SC",oficina/auto,,
Mecânica Nardi,,"Rua São João del Rei, 382 - Chapecó - SC",oficina/auto,,
MecCenter,,"Rua Guaporé - E, 161 - Chapecó - SC",oficina/auto,,
Garagem Full Detail,,"Rua Osvaldo Aranha - E, 1110 - Chapecó - SC",oficina/auto,,
Auto Peças Dinâmica,,"Rua Marechal Deodoro, 1287 - Concórdia - SC",oficina/auto,,+55 49 3442-4040
Oficina Mecânica Genova,,Rua Araranguá - Criciúma - SC,oficina/auto,,+55 48 34338248
Remofer do Brasil,,"Rua José Gaidzinski, 44 - Criciúma - SC",oficina/auto,,+55 48343336679
Auto Fix Center,,"Rua Santos Saraiva, 1731 - Florianópolis - SC",oficina/auto,,
Autofrio,,"Rua Santos Saraiva, 2142 - Florianópolis - SC",oficina/auto,,
Chevrotec,,"Avenida Jorge Lacerda, 581 - Florianópolis - SC",oficina/auto,,
Júlio Pneus,,"Rua Santos Saraiva, 1481 - Florianópolis - SC",oficina/auto,,
Fábio Escapamentos,,"Rua Antônio Carlos Ferreira, 92 - Florianópolis - SC",oficina/auto,,+55 48 3333-1472
Mercado do Óleo,,"Rua General Eurico Gaspar Dutra, 862 - Florianópolis - SC",oficina/auto,http://www.mercadodooleo.net.br/,+55 48 3244-5400
Mecânica e Auto Elétrica Precisão,,"Rua General Liberato Bittencourt, 1518 - Florianópolis - SC",oficina/auto,,+55 48 3248-5810
Retífica de Motores Mega Motors,,"Rua Nossa Senhora do Rosário, 604 - Florianópolis - SC",oficina/auto,,+55 48 3244-1424
Cinto de Segurança Machado,,"Rua Genuíno Pereira da Silva, 91 - Florianópolis - SC",oficina/auto,,+55 48 3240-9370
Scarduelli Retífica de Motores,,"Avenida Governador Ivo Silveira, 3519 - Florianópolis - SC",oficina/auto,,+55 48 3244-1100
Márcio Mecânica,,"Rua Vereador Batista Pereira, 484 - Florianópolis - SC",oficina/auto,,+55 48 3241-3764
All Mecânica,,"Rodovia Francisco Magno Vieira, 645 - Florianópolis - SC",oficina/auto,,
Auto Elétrica Dias,,Rua 28 de Agosto - Guaramirim - SC,oficina/auto,,
Oficina Mecanica Martinhago,,Rua José Olavo Nunes - Içara - SC,oficina/auto,,
Dapel,,BR-101 - Imbituba - SC,oficina/auto,,
Baternorte Mecânica Automotiva e Acessórios,,"Rua Marechal Deodoro da Fonseca, 2222 - Indaial - SC",oficina/auto,,
União Radiadores,,Rua Santa Luzia - Indaial - SC,oficina/auto,,+55 47 3333 1569
Unitec soluções automotivas,,Rua Santa Luzia - Indaial - SC,oficina/auto,,+55 47 98889 6687
Marechal Estética Automotiva,,"Rua Viena, 71 - Indaial - SC",oficina/auto,,
Mecânica LM,,"Rua 19 de Novembro, 430 - Indaial - SC",oficina/auto,,+55 47 98414-7273
Mega Auto Service,,"Rua Deputado Aldo Pereira de Andrade, 591 - Indaial - SC",oficina/auto,https://www.instagram.com/megaautoserviceindaial,
Indacar Auto Portas Serviços e Acessórios Automotivos,,"Rua 7 de Setembro, 770 - Indaial - SC",oficina/auto,,+55 47 3333 1426
Auto Elétrica Xande,,Rua Raul Machado - Itajaí - SC,oficina/auto,,"+55 47 3348-1947;+55 47 99997-5770"
Auto Mecânica Márcio,,Itajaí - SC,oficina/auto,,+55 47 3248-1716
Auto Elétrica Rally,,Avenida Vereador Nilo Simas - Itajaí - SC,oficina/auto,,
Recuperadora Vargas,,"Avenida Itaipava, 2883 - Itajaí - SC",oficina/auto,https://www.recuperadoravargas.com.br/,+55 47 3346-5062
Mecânica e Auto Center Taió,,"Rua Mathias Ruysan, 45 - Jaraguá do Sul - SC",oficina/auto,,+55 47 3370-4150
Auto Mecânica Prochnow,,"Rua Pastor Albert Schneider, 1000 - Jaraguá do Sul - SC",oficina/auto,,+55 47 3276-0284
Barra Auto Center,,"Rua Walter Marquardt, 2643 - Jaraguá do Sul - SC",oficina/auto,,
Auto Mecânica Minatti,,"Rua Walter Marquardt, 2556 - Jaraguá do Sul - SC",oficina/auto,,+55 47 3275-6129
Olicar Mecânica,,"Rua Presidente Epitácio Pessoa, 1411 - Jaraguá do Sul - SC",oficina/auto,,+55 47 3276-1516
Auto Mecânica Criscar,,"Rua José Leier, 458 - Jaraguá do Sul - SC",oficina/auto,,+55 47 3275-3239
ABF Auto Mecânica,,"Rua Leopoldo Veloso, 43 - Jaraguá do Sul - SC",oficina/auto,,+55 47 3371-9159
Auto Mecânica Souza,,"Rua 25 de Julho, 1566 - Jaraguá do Sul - SC",oficina/auto,,+55 47 3371-1009
Auto Mecânica Jorge,,"Rua Virgílio Pedro Rubini, 1670 - Jaraguá do Sul - SC",oficina/auto,,+55 47 3376-0444
Auto Mecânica Melchioretto,,"Rua 25 de Julho, 1715 - Jaraguá do Sul - SC",oficina/auto,,
Refri-Ar,,"Rua José Emmendoerfer, 1345 - Jaraguá do Sul - SC",oficina/auto,,+55 47 3371-7392
JC 4x4,,"Rua Eleonora Satler Pradi, 80 - Jaraguá do Sul - SC",oficina/auto,,+55 47 3275-3675
Top Car Auto Center,,"Rua Joaquim Francisco de Paula, 532 - Jaraguá do Sul - SC",oficina/auto,,+55 47 3305-7101
Ritmos,,"Rua Joaquim Francisco de Paula, 577 - Jaraguá do Sul - SC",oficina/auto,,+55 47 3275-1341
Auto Elétrica Rodocar,,"Rua Erwino Menegotti, 1640 - Jaraguá do Sul - SC",oficina/auto,,
Maier Auto Mecânica,,"Rua Manoel Francisco da Costa, 1455 - Jaraguá do Sul - SC",oficina/auto,,
Auto Elétrica Cleber,,Rua Manoel Francisco da Costa - Jaraguá do Sul - SC,oficina/auto,,+55 47 98878-0029
Elite Mecânica Automotiva,,"Rua Manoel Póvoas Filho, 35 - Jaraguá do Sul - SC",oficina/auto,,+55 47 3305-
Box Car Auto Mecânica,,"Rua Victor Rosemberg, 177 - Jaraguá do Sul - SC",oficina/auto,,+55 47 3407-1086
Box Car Lataria e Pintura,,"Rua Frederico Curt Alberto Vasel, 382 - Jaraguá do Sul - SC",pintura,,+55 47 3276-1149
Lubtech,,"Rua Walter Marquardt, 250 - Jaraguá do Sul - SC",oficina/auto,,
Dpaschoal,,"Rua Walter Marquardt, 170 - Jaraguá do Sul - SC",oficina/auto,http://auto.dpaschoal.com.br,+55 47 2106 1100
Auto Elétrica Cesar,,Rua Angelo Rubini - Jaraguá do Sul - SC,oficina/auto,,
Hidraucenter,,"Rua Pastor Ferdinand Schlunzen, 130 - Jaraguá do Sul - SC",oficina/auto,,"+55 47 3370-8806;+55 47 3370-9524"
KMK Recuperadora de motores e bombas elétricas,,"Rua 25 de Julho, 220 - Jaraguá do Sul - SC",oficina/auto,,
Auto Elétrica,,"Rua Walter Marquardt, 551 - Jaraguá do Sul - SC",oficina/auto,,
Latoaria e Pintura,,"Rua Domingos Demarchi, 81 - Jaraguá do Sul - SC",pintura,,
Kikar Auto Center,,"Rua Expedicionário Antônio Carlos Ferreira, 865 - Jaraguá do Sul - SC",oficina/auto,http://www.kikar.com.br/,+55 47 3371-0106
Mecânica SS,,"Rua Victor Rosemberg, 40 - Jaraguá do Sul - SC",oficina/auto,,+55 47 3376 5494
Allan Car,,"Rua Victor Rosemberg, 436 - Jaraguá do Sul - SC",oficina/auto,,"+55 47 3084-5555;+55 47 9156-8903"
D2 Soluções,,"Rua Bernardo Dornbusch, 1037 - Jaraguá do Sul - SC",oficina/auto,https://d2solucoes.com/,+55 47 99633 0230
Mecânica K&M,,"Rua José Fachini, 860 - Jaraguá do Sul - SC",oficina/auto,,+55 47 3370-7300
Perin Mecânica Automotiva,,"Rua Ida Bona Rocha, 101 - Jaraguá do Sul - SC",oficina/auto,,+55 47 99959-8004
Gran Car Auto Center,,"Rua Carlos Hardt, 460 - Jaraguá do Sul - SC",oficina/auto,,+55 47 3275 1920
Mecânica Vilson,,"Rua Expedicionário Ângelo Vicenzi, 350 - Jaraguá do Sul - SC",oficina/auto,,
Retífica RMS,,"Rua Londrina, 878 - Joinville - SC",oficina/auto,,
Mecânica Marcos Oliveira,,"Rua Osvaldo Antônio de Borba, 778 - Joinville - SC",oficina/auto,,+55 47 99172 1900
Só Portas Centro Automotivo,,"Rua Navegantes, 969 - Joinville - SC",oficina/auto,,+55 47 3455 2526
Auto Mecânica,,Rua Maravilha - Joinville - SC,oficina/auto,,+55 47 3426-4640
Mecânica Sul Motos,,"Rua Santa Catarina, 587 - Joinville - SC",oficina/auto,,+55 47 3436-0551
Auto Elétrica,,"Rua Papa João XXIII, 193 - Joinville - SC",oficina/auto,,"+55 47 98856 5918, +55 47 99696 8835"
Funilaria e Pintura Gil,,Rua Elias José de Sales - Joinville - SC,funilaria,,
WD Performance - Joinville,,"Rua Botuverá, 384 - Joinville - SC",oficina/auto,https://www.instagram.com/wd.performance/,+55 47 99977-3006
Oficina Mecânica Clodi,,Rua Romualdo Antônio do Pilar - Lages - SC,oficina/auto,,
Mecânica Nones,,Rua Felippe Berndt - Massaranduba - SC,oficina/auto,,
Speed Pneus,,"Rua 11 de Novembro, 4527 - Massaranduba - SC",oficina/auto,,+55 47 3379-5533
Logus Auto Elétrica,,Rua Campinas - Massaranduba - SC,oficina/auto,,
Borracharia do Passo,,Rua Macário Elias Delfino - Passo de Torres - SC,oficina/auto,,
Passo Auto Center,,"Rua Coronel João Fernandes, 214 - Passo de Torres - SC",oficina/auto,,
Auto Mecânica Collioni,,"Rua Boa Vontade, 20 - Passo de Torres - SC",oficina/auto,,
Oficina MecânicaTop Center,,"Rua Mampituba, 285 - Passo de Torres - SC",oficina/auto,,
MJ Mecânica Geral - Ar Condicionado,,"Rua Inácio Jacinto Albano, 173 - Penha - SC",oficina/auto,,+55 47 98481-0629
Elektro Auto,,"Rua Frederico Weege, 1170 - Pomerode - SC",oficina/auto,,+55 47 99178-2591
Mecânica KS,,"Rua XV de Novembro, 2219 - Pomerode - SC",oficina/auto,,+55 47 3387-2458
